"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","277","has a reference match",316,71.0158227848101,293.753254198178,7,12,23,56.25,4985,22441,"other and unspecified disorders of metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","278","has a reference match",408,102.595588235294,402.548009473837,7,12,25,71.25,6586,41859,"overweight obesity and other hyperalimentation","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","279","has a reference match",181,25.0828729281768,29.3896955587118,7,9,15,27,215,4540,"disorders involving the immune mechanism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","280","has a reference match",483,104.062111801242,308.748908095726,7,12,29,77.5,3991,50262,"iron deficiency anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","282","has a reference match",138,29.2173913043478,88.6554669048849,7,8.25,14,21.75,1019,4032,"hereditary hemolytic anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","283","has a reference match",174,37.6264367816092,85.9463039247666,7,11,17,31,907,6547,"acquired hemolytic anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","284","has a reference match",367,69.267029972752,199.739405575153,7,13,24,56,3049,25421,"aplastic anemia and other bone marrow failure syndromes","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","285","has a reference match",842,332.137767220903,1255.26855165123,7,18,48,209.5,21741,279660,"other and unspecified anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","286","has a reference match",570,127.059649122807,439.409245478721,7,14,30.5,85.75,5495,72424,"coagulation defects","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","287","has a reference match",456,79.3640350877193,261.42548187163,7,12.75,27.5,62.25,4575,36190,"purpura and other hemorrhagic conditions","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","288","has a reference match",487,116.868583162218,397.540684537826,7,13,32,77,6474,56915,"diseases of white blood cells","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","289","has a reference match",356,45.9719101123596,85.7123541821118,7,11,19,41.5,904,16366,"other diseases of blood and bloodforming organs","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","290","has a reference match",729,429.23182441701,1860.38324799633,7,19,51,196,34933,312910,"dementias","40","delirium dementia and other cognitive disorders"
"10_9","ICD-9-CM to ICD-10-CA","291","has a reference match",359,126.281337047354,892.908358584179,7,11.5,23,61.5,16554,45335,"alcoholinduced mental disorders","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","292","has a reference match",275,98.7636363636364,364.523284510376,7,11.5,19,43,4615,27160,"druginduced mental disorders","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","294","has a reference match",604,280.276490066225,1161.07826367207,7,17,42.5,134.5,20931,169287,"persistent mental disorders due to conditions classified elsewhere","40","delirium dementia and other cognitive disorders"
"10_9","ICD-9-CM to ICD-10-CA","295","has a reference match",717,480.966527196653,4044.31247708258,7,18,46,144,98409,344853,"schizophrenic disorders","42","schizophrenia and other psychotic disorders"
"10_9","ICD-9-CM to ICD-10-CA","296","has a reference match",889,517.645669291339,3322.01992603115,7,20,53,175,65169,460187,"episodic mood disorders","43","mood and anxiety disorders"
"10_9","ICD-9-CM to ICD-10-CA","297","has a reference match",277,82.6137184115523,286.148788624752,7,14,22,52,4140,22884,"delusional disorders","42","schizophrenia and other psychotic disorders"
"10_9","ICD-9-CM to ICD-10-CA","298","has a reference match",797,368.864491844417,1490.36593655067,7,18,49,162,25380,293985,"other nonorganic psychoses","42","schizophrenia and other psychotic disorders"
"10_9","ICD-9-CM to ICD-10-CA","299","has a reference match",143,48.4055944055944,152.005524258502,7,10,15,37,1728,6922,"pervasive developmental disorders","44","disorders usually diagnosed in infancy childhood or adolescence"
"10_9","ICD-9-CM to ICD-10-CA","300","has a reference match",981,280.718654434251,1006.65922650861,7,18,57,193,18348,275385,"anxiety dissociative and somatoform disorders","43","mood and anxiety disorders"
"10_9","ICD-9-CM to ICD-10-CA","301","has a reference match",459,215.854030501089,1213.56656616937,7,13,27,78,23027,99077,"personality disorders","45","personality disorders"
"10_9","ICD-9-CM to ICD-10-CA","303","has a reference match",435,125.204597701149,797.786116987552,7,12,24,63.5,16022,54464,"alcohol dependence syndrome","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","304","has a reference match",532,127.65037593985,407.456348614454,7,14,30,79.5,5972,67910,"drug dependence","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","305","has a reference match",677,225.805022156573,1285.9295409985,7,16,39,118,29925,152870,"nondependent abuse of drugs","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","306","has a reference match",22,14.6818181818182,9.09937917105894,7,8,12.5,17.75,43,323,"physiological malfunction arising from mental factors","46","miscellaneous mental health disorders"
"10_9","ICD-9-CM to ICD-10-CA","307","has a reference match",400,98.075,567.098307704673,7,12,22,60.5,10850,39230,"special symptoms or syndromes not elsewhere classified","46","miscellaneous mental health disorders"
"10_9","ICD-9-CM to ICD-10-CA","308","has a reference match",330,36.5030303030303,70.7835112290565,7,11,17,35,740,12046,"acute reaction to stress","43","mood and anxiety disorders"
"10_9","ICD-9-CM to ICD-10-CA","309","has a reference match",684,172.144736842105,896.489448020163,7,16,36,96.25,19509,117747,"adjustment reaction","47","adjustment disorders"
"10_9","ICD-9-CM to ICD-10-CA","310","has a reference match",54,22.0185185185185,22.8510275899082,7,10,14.5,23.5,149,1189,"specific nonpsychotic mental disorders due to brain damage","46","miscellaneous mental health disorders"
