"icd9","best_target","max_similarity","track","track_label"
"531","K25",0.940246105194092,"10_9","ICD-9-CM to ICD-10-CA"
"532","K28",0.91152036190033,"10_9","ICD-9-CM to ICD-10-CA"
"533","K27",0.934449672698975,"10_9","ICD-9-CM to ICD-10-CA"
"534","K28",0.924533128738403,"10_9","ICD-9-CM to ICD-10-CA"
"535","G08",0.930296421051025,"10_9","ICD-9-CM to ICD-10-CA"
"537","K92",0.924818158149719,"10_9","ICD-9-CM to ICD-10-CA"
"555","I85",0.912233471870422,"10_9","ICD-9-CM to ICD-10-CA"
"556","M06",0.935219526290894,"10_9","ICD-9-CM to ICD-10-CA"
"557","K57",0.922492742538452,"10_9","ICD-9-CM to ICD-10-CA"
"558","G08",0.933968365192413,"10_9","ICD-9-CM to ICD-10-CA"
"562","L05",0.91086220741272,"10_9","ICD-9-CM to ICD-10-CA"
"564","M25",0.942625939846039,"10_9","ICD-9-CM to ICD-10-CA"
"571","N95",0.909736812114716,"10_9","ICD-9-CM to ICD-10-CA"
"572","B91",0.912275314331055,"10_9","ICD-9-CM to ICD-10-CA"
"573","K76",0.919789016246796,"10_9","ICD-9-CM to ICD-10-CA"
"575","K82",0.926317930221558,"10_9","ICD-9-CM to ICD-10-CA"
"576","N32",0.929356515407562,"10_9","ICD-9-CM to ICD-10-CA"
"577","K57",0.903501152992249,"10_9","ICD-9-CM to ICD-10-CA"
"579","G91",0.929884672164917,"10_9","ICD-9-CM to ICD-10-CA"
"581","N04",0.939192473888397,"10_9","ICD-9-CM to ICD-10-CA"
"582","N03",0.917016565799713,"10_9","ICD-9-CM to ICD-10-CA"
"583","G03",0.926643967628479,"10_9","ICD-9-CM to ICD-10-CA"
"585","Y95",0.920320689678192,"10_9","ICD-9-CM to ICD-10-CA"
"586","N05",0.923986673355103,"10_9","ICD-9-CM to ICD-10-CA"
"587","E85",0.908204257488251,"10_9","ICD-9-CM to ICD-10-CA"
"588","N25",0.913323521614075,"10_9","ICD-9-CM to ICD-10-CA"
"590","T82",0.91010844707489,"10_9","ICD-9-CM to ICD-10-CA"
"595","N30",0.943088293075562,"10_9","ICD-9-CM to ICD-10-CA"
"596","N32",0.957489907741547,"10_9","ICD-9-CM to ICD-10-CA"
"599","N39",0.934216260910034,"10_9","ICD-9-CM to ICD-10-CA"
"600","N40",0.966360688209534,"10_9","ICD-9-CM to ICD-10-CA"
"601","N73",0.922353386878967,"10_9","ICD-9-CM to ICD-10-CA"
"607","K57",0.900472283363342,"10_9","ICD-9-CM to ICD-10-CA"
"610","N60",0.929432332515717,"10_9","ICD-9-CM to ICD-10-CA"
"614","N72",0.938941955566406,"10_9","ICD-9-CM to ICD-10-CA"
"615","N71",0.954890489578247,"10_9","ICD-9-CM to ICD-10-CA"
"617","K21",0.927318155765533,"10_9","ICD-9-CM to ICD-10-CA"
"618","N81",0.935697078704834,"10_9","ICD-9-CM to ICD-10-CA"
"619","N82",0.949432015419006,"10_9","ICD-9-CM to ICD-10-CA"
"621","K91",0.935675740242004,"10_9","ICD-9-CM to ICD-10-CA"
"625","N94",0.965426325798035,"10_9","ICD-9-CM to ICD-10-CA"
"626","N94",0.930236995220184,"10_9","ICD-9-CM to ICD-10-CA"
"627","N95",0.940438270568848,"10_9","ICD-9-CM to ICD-10-CA"
"628","N97",0.973078846931458,"10_9","ICD-9-CM to ICD-10-CA"
"629","N50",0.946696639060974,"10_9","ICD-9-CM to ICD-10-CA"
"691","M30",0.921959578990936,"10_9","ICD-9-CM to ICD-10-CA"
"694","L92",0.919656336307526,"10_9","ICD-9-CM to ICD-10-CA"
"695","L51",0.936888933181763,"10_9","ICD-9-CM to ICD-10-CA"
"696","N95",0.93680202960968,"10_9","ICD-9-CM to ICD-10-CA"
"701","L91",0.910603165626526,"10_9","ICD-9-CM to ICD-10-CA"
"705","M82",0.914215326309204,"10_9","ICD-9-CM to ICD-10-CA"
"707","L91",0.915693819522858,"10_9","ICD-9-CM to ICD-10-CA"
"710","L92",0.9136101603508,"10_9","ICD-9-CM to ICD-10-CA"
"712","M11",0.948808312416077,"10_9","ICD-9-CM to ICD-10-CA"
"713","M14",0.960417509078979,"10_9","ICD-9-CM to ICD-10-CA"
"714","M07",0.946358203887939,"10_9","ICD-9-CM to ICD-10-CA"
"715","M82",0.927381932735443,"10_9","ICD-9-CM to ICD-10-CA"
"716","M07",0.935321033000946,"10_9","ICD-9-CM to ICD-10-CA"
"717","M23",0.906229019165039,"10_9","ICD-9-CM to ICD-10-CA"
"718","M89",0.926735281944275,"10_9","ICD-9-CM to ICD-10-CA"
"719","M14",0.924689888954163,"10_9","ICD-9-CM to ICD-10-CA"
"720","K74",0.943766355514526,"10_9","ICD-9-CM to ICD-10-CA"
"721","M82",0.938556671142578,"10_9","ICD-9-CM to ICD-10-CA"
"722","M50",0.935712575912476,"10_9","ICD-9-CM to ICD-10-CA"
"730","M07",0.920332193374634,"10_9","ICD-9-CM to ICD-10-CA"
"731","M03",0.948156833648682,"10_9","ICD-9-CM to ICD-10-CA"
"732","M93",0.938547194004059,"10_9","ICD-9-CM to ICD-10-CA"
"733","M67",0.916028022766113,"10_9","ICD-9-CM to ICD-10-CA"
"735","M20",0.936516046524048,"10_9","ICD-9-CM to ICD-10-CA"
"737","S82",0.890048384666443,"10_9","ICD-9-CM to ICD-10-CA"
"740","Q00",0.925168573856354,"10_9","ICD-9-CM to ICD-10-CA"
"741","M81",0.923325955867767,"10_9","ICD-9-CM to ICD-10-CA"
"742","Q27",0.912357747554779,"10_9","ICD-9-CM to ICD-10-CA"
